episode,Multi-Agent_GAT_DT_50_agents_reward,Multi-Agent_GAT_DT_50_agents_path_length,Multi-Agent_GAT_DT_50_agents_jammed_steps,Multi-Agent_GAT_DT_50_agents_latency,GAT_Baseline_4_features_reward,GAT_Baseline_4_features_path_length,GAT_Baseline_4_features_jammed_steps,GAT_Baseline_4_features_latency
1806,1.9988604141541488,4,0,0.9973546829591098,1.6772548056275767,4,0,1.0052275929710162
1807,1.2374426763112343,2,0,0.4795444248900006,0.959838555230275,3,1,0.7433846995495645
1808,1.5342578102710074,3,0,0.7757136326193323,-12.13992414846879,38,1,9.195415245932224
1809,1.1537477695581522,2,0,0.4199010255934287,-33.898389881727454,103,0,25.489286135127045
1810,1.2351969141467993,2,0,0.43965270434175097,-19.837972081119915,52,0,11.088471230300991
1811,1.997472196507715,4,0,1.02515910882844,1.2029757753752008,4,1,0.9837784669225328
1812,0.6993720113328998,5,0,1.144255791963612,1.2030322936222642,3,0,0.7148601487406645
1813,1.8252714877985357,3,0,0.7752605768113647,1.4818660095511054,3,0,0.712760307175664
1814,-0.5951214450865911,6,3,1.4320808485252234,0.010000000000000009,2,0,0.5181497531988954
1815,1.5241672605018886,3,0,0.7843017474715399,1.2117796211410607,2,0,0.4777305160143041
1816,0.75032017186439,3,1,0.7344390401612941,1.2178470036146392,2,0,0.4728666428793477
1817,0.632295709193399,5,0,1.1017612838721427,0.7780089898656547,4,0,0.9494358244735289
1818,1.2909081050829776,6,0,1.421613371079286,1.7319305471915798,3,0,0.6756432181547269
1819,0.9348164243551607,3,1,0.7184968757158035,1.5092424036318106,4,0,0.981880843150724
1820,-0.7448163298014359,5,3,1.3468741568927125,0.9419254386347454,3,1,0.6820636378779581
1821,1.9808930816403565,5,0,1.2094001174321132,1.496595357813706,3,0,0.7554591814545202
1822,1.2443581700427244,2,0,0.4448599974571519,-200.78611616963036,500,0,114.81141669953924
1823,0.7597294234508012,5,0,1.321632741713456,1.8146815786787354,3,0,0.7855281152805493
1824,1.252807999025479,2,0,0.47948140556093255,0.830814018935859,5,0,1.1823306125368975
1825,0.5959273291404066,5,0,1.1666302340638524,0.5115250206694781,4,0,0.9934362673014363
1826,0.9331458202625255,3,1,0.6830718937840587,0.6987186937814769,4,2,1.0132452019842082
1827,0.6875869127992139,5,0,1.137666736136303,1.4775538043794276,4,0,1.0022567717982636
1828,0.4494585615633365,3,2,0.6397043223112014,1.2430777145239706,2,0,0.48398546934384623
1829,1.0200736310494467,5,0,1.2513125592020433,-1.2407417139005494,4,1,0.956087347554198
1830,1.2320527072659846,2,0,0.4663847795102533,-1.7803373739179966,10,0,2.5292305475489028
1831,-0.24534386420962329,7,0,1.6746736791079149,1.4621968131672642,3,0,0.7072833113532304
1832,1.4908520054639018,3,0,0.7170599761122621,1.9554942310610313,4,0,0.958189564481144
1833,1.7062086260338318,4,0,0.9469080830801203,1.4008977737150654,3,0,0.6918505811823206
1834,-0.6009539141899918,7,1,1.7503028536146799,-200.36771808993922,500,0,127.19038425137549
1835,1.2440586744052702,2,0,0.47154359596620754,0.9706600808224799,6,1,1.3974369966202815
1836,1.4099492779141567,3,0,0.6939067690020039,1.236944422179809,4,1,0.997624340493
1837,1.7950757655334375,3,0,0.7402862192466662,1.455092068177645,4,0,0.9345279522875576
1838,1.3070210267768019,1,0,0.22679319771085377,-3.090433670560091,15,0,3.659751889878144
1839,-0.04651908186987863,6,0,1.4127853233010657,-15.462675417287146,37,0,10.494701417927129
1840,-0.5916312381260922,8,1,1.8854007600426677,-11.961307620410171,36,0,8.559607649708159
1841,1.4931771501531537,2,0,0.3818758270306153,0.9912782945423257,4,1,0.9816763831916059
1842,1.5563530850228062,2,0,0.4927061700456121,1.4987813324499264,3,0,0.8234832822098108
1843,-0.30879176715302403,12,0,2.96176530302749,1.4607176185680415,4,0,0.9889120636911002
1844,-1.2934709510026714,7,2,1.7494138769910712,-240.84357980633112,500,91,107.47017163680302
1845,0.7545255083436513,7,0,1.6923251255867982,-13.118338565128957,25,12,6.422188727101807
1846,1.2454552527515643,2,0,0.4594972961535543,0.428391861971396,4,2,0.8932955600371891
1847,1.950707891418016,4,0,0.8933320335340149,-22.797199327239337,52,1,11.455963374328093
1848,0.5124554007339955,4,2,0.9964771726936994,1.4489820717432842,2,0,0.4844372492676013
1849,1.4585207982741515,3,0,0.6998873126193919,1.5281123345161205,4,0,1.023699525725533
1850,1.2265506065490337,2,0,0.451491453279394,0.9654553066416771,4,1,0.9566809914054959
1851,0.7361558668502832,6,0,1.4138211765660336,1.9239952956212196,4,0,0.873262349315679
1852,1.686188311539095,4,0,1.0293634793034676,1.4193864173400454,3,0,0.7330106871023896
1853,1.4498542091148232,4,0,0.9684281057573559,1.01,1,0,0.2640812937659224
1854,1.5122364777385502,3,0,0.7583469858220078,1.7368122581779264,3,0,0.6740025075178763
1855,1.6557027248807759,4,0,0.9519895116657465,1.5117839323146935,4,0,0.9166383594310601
1856,1.31,1,0,0.21329059309125667,-15.142068894079793,36,0,7.212443503806505
1857,1.6882733481502878,4,0,0.9787793196191065,-0.06877673321863309,4,1,0.916522665519547
1858,1.5106501859339416,3,0,0.7555312136132993,0.7197683568757973,6,0,1.364136821075023
1859,0.9322226184616531,5,0,1.1425178702354681,-51.08687167041627,118,0,25.454169044298045
1860,0.6149413711244036,5,0,1.1737055491932968,1.1040467284820727,4,1,0.8934750826441386
1861,0.2574513465305971,3,0,0.742406515334083,-61.69413829367937,115,36,25.86900245592519
